Mth,Year,Gaps,Good,Minimum,Maximum,Mean,StDevn
1,1966,650,94,0.090,0.820,0.468,0.187
2,1966,0,672,-0.180,0.880,0.411,0.218
3,1966,0,744,-0.120,1.040,0.467,0.225
4,1966,0,720,-0.030,1.370,0.542,0.228
5,1966,0,744,0.000,1.040,0.501,0.210
6,1966,0,720,-0.090,1.070,0.443,0.224
7,1966,0,744,-0.210,1.190,0.479,0.259
8,1966,0,744,-0.180,1.100,0.390,0.232
9,1966,0,720,-0.090,1.070,0.403,0.221
10,1966,0,744,-0.090,0.980,0.364,0.213
11,1966,0,720,-0.150,1.010,0.380,0.230
12,1966,0,744,-0.240,1.100,0.408,0.248
1,1967,0,744,-0.060,1.010,0.510,0.216
2,1967,0,672,-0.060,0.910,0.370,0.201
3,1967,0,744,-0.090,0.980,0.417,0.222
4,1967,0,720,-0.150,1.130,0.425,0.218
5,1967,0,744,-0.060,0.940,0.460,0.204
6,1967,0,720,-0.180,0.910,0.425,0.221
7,1967,0,744,-0.030,1.100,0.479,0.227
8,1967,0,744,-0.210,1.010,0.442,0.238
9,1967,0,720,-0.090,0.940,0.401,0.218
10,1967,0,744,-0.180,0.980,0.367,0.213
11,1967,0,720,-0.150,1.070,0.429,0.239
12,1967,0,744,-0.180,1.130,0.404,0.255
1,1968,0,744,-0.240,0.940,0.384,0.226
2,1968,0,696,-0.120,1.010,0.433,0.223
3,1968,0,744,-0.090,0.940,0.450,0.206
4,1968,0,720,0.090,1.280,0.648,0.233
5,1968,0,744,-0.030,1.220,0.638,0.240
6,1968,13,707,-0.060,1.220,0.569,0.245
7,1968,0,744,-0.090,1.160,0.466,0.225
8,1968,0,744,-0.030,1.160,0.589,0.229
9,1968,0,720,-0.120,1.130,0.456,0.229
10,1968,0,744,-0.060,1.190,0.508,0.253
11,1968,0,720,0.000,1.160,0.596,0.233
12,1968,0,744,-0.210,0.880,0.410,0.208
1,1969,0,744,0.000,0.980,0.478,0.215
2,1969,0,672,-0.090,0.820,0.370,0.204
3,1969,0,744,-0.150,0.910,0.418,0.209
4,1969,0,720,0.000,1.070,0.522,0.222
5,1969,0,744,-0.240,1.100,0.467,0.244
6,1969,0,720,-0.150,1.010,0.481,0.226
7,1969,0,744,-0.090,1.130,0.479,0.225
8,1969,0,744,-0.090,1.130,0.427,0.239
9,1969,0,720,-0.090,1.130,0.473,0.226
10,1969,0,744,-0.210,0.730,0.320,0.200
11,1969,0,720,-0.210,1.040,0.417,0.213
12,1969,0,744,-0.090,1.010,0.500,0.218
1,1970,0,744,-0.180,1.040,0.484,0.213
2,1970,0,672,-0.150,1.100,0.485,0.214
3,1970,0,744,0.030,1.100,0.546,0.209
4,1970,0,720,-0.030,1.370,0.599,0.247
5,1970,0,744,0.030,1.310,0.634,0.238
6,1970,0,720,0.000,1.190,0.610,0.234
7,1970,0,744,0.060,1.220,0.600,0.230
8,1970,0,744,-0.030,1.250,0.556,0.246
9,1970,0,720,-0.120,1.010,0.481,0.226
10,1970,0,744,0.090,1.010,0.537,0.202
11,1970,0,720,-0.090,0.980,0.463,0.218
12,1970,0,744,0.030,1.070,0.541,0.216
1,1971,0,744,-0.060,0.940,0.482,0.218
2,1971,0,672,-0.030,0.880,0.475,0.207
3,1971,0,744,-0.120,0.850,0.403,0.195
4,1971,0,720,-0.150,1.160,0.541,0.247
5,1971,0,744,-0.030,1.310,0.669,0.248
6,1971,0,720,0.120,1.160,0.616,0.220
7,1971,0,744,0.030,1.040,0.532,0.210
8,1971,0,744,0.000,1.220,0.566,0.225
9,1971,0,720,0.000,1.190,0.551,0.251
10,1971,0,744,0.120,1.280,0.659,0.224
11,1971,0,720,-0.030,1.370,0.598,0.257
12,1971,0,744,-0.030,1.340,0.583,0.249
1,1972,0,744,-0.060,1.070,0.475,0.222
2,1972,0,696,0.030,1.040,0.496,0.207
3,1972,0,744,-0.180,0.910,0.459,0.216
4,1972,0,720,-0.060,1.310,0.572,0.233
5,1972,0,744,-0.120,1.130,0.491,0.234
6,1972,0,720,-0.180,1.400,0.482,0.267
7,1972,0,744,-0.030,1.280,0.628,0.263
8,1972,0,744,-0.030,1.280,0.538,0.247
9,1972,0,720,-0.120,1.100,0.497,0.222
10,1972,0,744,-0.150,1.160,0.449,0.229
11,1972,0,720,-0.120,0.940,0.403,0.216
12,1972,0,744,-0.120,1.130,0.490,0.226
1,1973,0,744,0.000,0.900,0.506,0.210
2,1973,0,672,-0.200,1.200,0.479,0.231
3,1973,0,744,0.000,1.100,0.525,0.207
4,1973,0,720,0.000,1.400,0.612,0.255
5,1973,0,744,0.100,1.200,0.657,0.226
6,1973,0,720,0.000,1.300,0.601,0.267
7,1973,0,744,-0.100,1.100,0.488,0.237
8,1973,0,744,0.100,1.100,0.559,0.213
9,1973,0,720,0.000,1.200,0.580,0.231
10,1973,0,744,0.000,1.100,0.509,0.215
11,1973,0,720,-0.100,1.100,0.533,0.219
12,1973,0,744,-0.100,1.200,0.566,0.234
1,1974,0,744,-0.100,1.000,0.478,0.216
2,1974,0,672,0.000,1.100,0.496,0.211
3,1974,0,744,0.000,1.000,0.465,0.203
4,1974,0,720,0.000,1.200,0.550,0.238
5,1974,0,744,0.100,1.200,0.550,0.218
6,1974,0,720,0.100,1.200,0.588,0.238
7,1974,0,744,0.200,1.400,0.714,0.265
8,1974,0,744,0.100,1.300,0.625,0.242
9,1974,0,720,0.100,1.100,0.590,0.228
10,1974,0,744,0.100,1.100,0.603,0.213
11,1974,0,720,0.100,1.100,0.598,0.224
12,1974,0,744,0.200,1.300,0.658,0.229
1,1975,0,744,0.000,1.100,0.605,0.236
2,1975,0,672,-0.100,1.000,0.490,0.222
3,1975,0,744,-0.100,1.300,0.587,0.276
4,1975,0,720,0.000,1.100,0.588,0.222
5,1975,0,744,0.100,1.500,0.731,0.268
6,1975,0,720,0.000,1.200,0.543,0.239
7,1975,0,744,0.100,1.300,0.610,0.242
8,1975,0,744,0.100,1.200,0.604,0.231
9,1975,0,720,0.000,1.100,0.539,0.236
10,1975,0,744,0.000,1.200,0.555,0.236
11,1975,0,720,0.000,1.300,0.617,0.241
12,1975,0,744,-0.100,1.200,0.529,0.232
1,1976,0,744,0.000,1.100,0.517,0.224
2,1976,0,696,0.000,0.900,0.488,0.213
3,1976,0,744,-0.100,1.200,0.496,0.230
4,1976,0,720,0.000,1.100,0.568,0.239
5,1976,0,744,0.000,1.100,0.575,0.231
6,1976,0,720,0.000,1.300,0.560,0.261
7,1976,0,744,0.000,1.100,0.500,0.236
8,1976,0,744,0.000,1.500,0.540,0.251
9,1976,0,720,-0.100,1.200,0.487,0.254
10,1976,0,744,0.000,1.000,0.472,0.212
11,1976,0,720,0.000,1.100,0.555,0.220
12,1976,0,744,0.100,1.200,0.713,0.227
1,1977,0,744,0.000,1.100,0.555,0.229
2,1977,0,672,-0.100,1.000,0.471,0.216
3,1977,0,744,0.000,1.100,0.592,0.230
